File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\GeneralQueriesImpl.java,79,33,26,4,9,1,37,103,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\GenericDaoImpl.java,395,198,147,24,35,2,162,484,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\HibernateUtilImpl.java,246,123,88,14,28,1,95,309,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\SnapshotDaoImpl.java,114,57,43,7,17,1,40,125,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\UserDaoImpl.java,117,79,59,10,12,1,26,66,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\util\DaoAdapterFactory.java,337,129,77,35,26,1,182,1029,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\util\DaoSwitch.java,374,155,119,54,23,1,196,1131,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\CheckInMilestone.java,128,12,11,0,11,1,105,459,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Connection.java,519,41,40,0,40,1,438,1915,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\ConnectionType.java,234,67,46,14,22,2,145,480,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Container.java,298,25,24,0,24,1,249,1086,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\ContentObject.java,288,25,24,0,23,1,240,1035,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\DataSource.java,264,23,22,0,22,1,219,961,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\documentType.java,1262,219,122,14,99,1,944,3467,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Event.java,192,17,16,0,16,1,159,680,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\EventType.java,236,67,46,14,23,1,146,480,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\File.java,162,15,14,0,14,1,133,563,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\FileFunctionStatus.java,368,29,28,0,28,1,311,1383,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\FileType.java,191,18,17,0,17,1,156,656,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Folder.java,51,6,5,0,5,1,40,152,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Function.java,245,22,21,0,21,1,202,851,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\GeneralFactory.java,178,22,21,0,21,1,135,550,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\GeneralPackage.java,4025,434,432,0,428,1,3163,12007,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Milestone.java,452,99,62,14,39,1,314,1034,2,2
